"No.","Ticker","Sector","Industry","Market Cap","P/E","Float %","Insider Transactions","Institutional Transactions","Short Float","Performance (Week)","Performance (Month)","Performance (YTD)","Beta","Average True Range","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","52-Week Range","Relative Strength Index (14)","Earnings Date","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Price","Change","After-Hours Close"
31,"IONQ","Technology","Computer Hardware",19805.17,,94.82%,-38.01%,29.95%,15.67%,-5.51%,60.63%,59.28%,2.59,4.23,41.09%,76.56%,-12.61%,777.14%,7.59 - 76.13,66.43,8/6/2025 4:30:00 PM,-1.47%,1.67,22648.80,2.64,10851993,66.53,-4.18%,
32,"IREN","Financial","Capital Markets",11075.05,,93.17%,-9.75%,23.79%,12.26%,5.71%,82.72%,315.95%,4.13,3.43,62.20%,197.69%,-17.30%,697.00%,5.12 - 49.39,64.77,8/28/2025 4:30:00 PM,-5.60%,1.54,31340.39,4.15,23590130,40.85,-11.76%,
33,"JD","Consumer Cyclical","Internet Retail",46502.14,9.72,99.91%,0.00%,-5.69%,1.64%,-1.98%,11.63%,-0.76%,0.39,1.13,5.54%,-3.44%,-28.05%,15.07%,29.90 - 47.82,55.52,8/14/2025 8:30:00 AM,-1.08%,1.43,13480.48,1.96,4802523,34.40,-2.18%,
34,"KC","Technology","Software - Application",4206.69,,99.43%,,-12.40%,3.09%,-6.24%,9.63%,47.57%,2.16,0.96,3.96%,12.55%,-30.46%,502.03%,2.57 - 22.26,49.47,8/20/2025 8:30:00 AM,-6.35%,1.23,2150.94,5.57,2176527,15.48,-11.39%,
35,"KMX","Consumer Cyclical","Auto & Truck Dealerships",6769.45,13.25,99.49%,-0.03%,-1.37%,10.00%,-22.80%,-27.33%,-44.83%,1.30,2.63,-23.04%,-35.86%,-50.57%,5.52%,42.75 - 91.25,19.36,9/25/2025 8:30:00 AM,-1.89%,2.23,3317.91,3.74,2253930,45.11,-1.08%,
36,"KVUE","Consumer Defensive","Household & Personal Products",31366.43,22.20,99.94%,0.00%,0.60%,2.24%,-10.88%,-21.23%,-23.44%,0.75,0.76,-19.83%,-25.07%,-35.06%,1.27%,16.14 - 25.17,26.89,8/7/2025 8:30:00 AM,1.55%,2.45,24572.83,1.61,7184007,16.34,1.08%,
37,"KVYO","Technology","Software - Infrastructure",9571.00,,91.32%,-14.14%,12.94%,6.40%,-9.44%,-0.55%,-22.64%,1.37,1.45,-1.24%,-9.60%,-35.61%,34.22%,23.77 - 49.55,45.79,8/5/2025 4:30:00 PM,0.82%,1.18,2075.84,2.87,1081125,31.91,-1.83%,
38,"LAC","Basic Materials","Other Industrial Metals & Mining",1519.76,,82.61%,,1.85%,15.06%,109.38%,128.36%,129.12%,0.62,0.49,116.11%,128.82%,-9.63%,194.59%,2.31 - 7.53,80.92,8/14/2025 8:30:00 AM,-3.12%,2.42,16542.65,11.03,33139254,6.80,-7.67%,
39,"LCID","Consumer Cyclical","Auto Manufacturers",7343.51,,40.25%,0.00%,,34.04%,13.27%,14.90%,-20.86%,0.80,1.33,6.46%,-3.19%,-35.92%,56.72%,15.25 - 37.30,66.52,8/5/2025 4:30:00 PM,0.35%,3.20,13230.89,1.94,4657132,23.90,3.73%,
40,"LI","Consumer Cyclical","Auto Manufacturers",21043.22,23.91,93.05%,0.00%,-2.44%,2.88%,-2.17%,11.46%,5.00%,1.00,0.91,-1.16%,-2.46%,-23.94%,31.86%,19.10 - 33.12,50.46,8/28/2025 8:30:00 AM,5.00%,1.95,5481.83,5.44,5411256,25.19,-2.40%,
41,"LMND","Financial","Insurance - Property & Casualty",3710.57,,82.27%,-22.11%,3.01%,28.05%,-17.62%,-6.95%,36.91%,2.25,3.46,-0.40%,28.77%,-19.00%,228.88%,15.27 - 62.00,43.58,8/5/2025 8:30:00 AM,0.07%,3.50,2641.98,1.68,807804,50.22,-4.27%,
42,"MIR","Industrials","Specialty Industrial Machinery",5319.23,558.60,97.33%,-6.99%,8.73%,9.08%,-6.98%,11.34%,30.29%,0.87,1.27,4.49%,25.12%,-9.64%,111.29%,10.76 - 25.16,51.81,7/31/2025 4:30:00 PM,6.91%,1.14,4042.92,12.37,9076344,22.74,6.09%,
43,"MP","Basic Materials","Other Industrial Metals & Mining",12980.42,,79.42%,-1.64%,5.49%,18.16%,0.10%,2.65%,369.84%,2.36,4.71,8.04%,104.89%,-11.16%,371.04%,15.56 - 82.50,58.17,8/7/2025 4:30:00 PM,-0.08%,1.86,15572.79,1.52,4303724,73.29,-4.97%,
44,"MRVL","Technology","Semiconductors",70976.43,,98.94%,-0.10%,-2.87%,3.63%,10.87%,10.08%,-25.46%,1.91,3.45,12.23%,2.69%,-35.42%,74.85%,47.08 - 127.48,67.87,8/28/2025 4:30:00 PM,-1.22%,1.44,20972.67,1.59,6058884,82.33,-1.77%,
45,"MU","Technology","Semiconductors",175087.12,20.63,99.74%,-10.76%,1.22%,2.27%,-3.86%,32.87%,85.90%,1.53,5.85,22.05%,49.43%,-8.21%,154.22%,61.54 - 170.45,63.16,9/23/2025 4:30:00 PM,1.12%,1.57,23319.61,2.05,8674881,156.45,-0.24%,
46,"NB","Basic Materials","Other Industrial Metals & Mining",586.65,,93.15%,0.00%,12.50%,6.96%,13.88%,44.38%,331.29%,-0.09,0.56,51.09%,140.75%,-9.54%,426.38%,1.27 - 7.39,70.17,09/03/2025,0.55%,1.00,4235.45,6.88,5288150,6.68,-8.55%,
